IP,Count
192.168.1.2,2245
212.204.214.114,300
192.168.1.1,709
71.10.179.129,86
172.200.160.242,82
86.128.100.24,2
68.95.198.126,15
86.128.187.110,4
24.177.122.79,54
68.32.70.119,15
86.197.95.238,2
86.31.70.81,2
86.220.100.25,2
86.130.63.111,1
80.216.195.140,1
65.190.6.124,7
165.124.253.241,4
81.236.228.111,2
86.142.117.124,1
86.142.178.222,1
86.128.163.125,2
86.134.79.66,2
86.136.192.70,1
80.186.57.176,2
68.206.150.243,47
82.128.194.105,1
212.50.132.237,1
204.152.205.205,4
217.47.73.141,4
195.215.8.141,18
83.147.171.206,2
172.207.190.217,2
190.44.165.86,10
83.130.238.168,10
83.5.146.219,1
82.253.163.244,2
202.139.177.147,4
202.232.205.123,4
130.244.145.31,4
217.47.73.30,4
217.41.176.21,4
217.41.176.118,8
212.72.49.142,44
212.149.248.49,6
67.190.60.125,10
24.242.109.92,10
129.11.125.169,2
69.192.67.152,2
66.67.61.44,12
24.61.5.13,2
212.72.49.131,20
24.107.221.82,10
72.145.3.159,4
193.150.239.120,5
68.84.140.103,8
72.181.61.199,8
24.225.155.47,2
82.216.129.118,10
24.243.179.113,2
67.162.133.209,8
212.30.7.170,2
130.117.72.70,2
224.0.0.1,2
67.190.177.7,4
24.50.144.100,4
88.134.27.180,2
24.93.232.92,2
84.228.208.91,16
69.205.247.140,13
81.184.127.148,11
66.161.193.72,1
200.55.99.252,3
68.74.190.205,13
74.130.44.22,3
196.40.10.146,3
84.121.82.31,2
213.165.187.162,8
218.111.60.108,3
190.37.32.155,3
86.128.194.14,4
190.38.33.17,6
69.248.108.13,5
70.161.237.88,6
24.48.150.22,3
70.181.220.80,6
24.191.115.185,6
70.160.92.135,6
70.160.94.139,8
69.174.241.72,4
70.36.75.98,7
24.22.73.206,4
82.40.35.124,15
24.247.87.5,4
69.160.6.18,25
69.114.183.8,4
69.160.83.193,1
72.40.37.213,2
68.55.27.139,6
71.196.236.185,6
72.197.60.203,12
69.141.46.5,12
24.125.186.144,6
172.164.231.151,2
68.56.113.162,6
67.165.90.216,6
69.250.183.56,6
82.235.241.187,3
68.224.143.119,3
86.128.79.38,2
80.73.178.211,19
24.28.248.6,19
67.163.96.170,19
69.244.172.248,6
84.25.172.195,2
68.38.164.187,6
86.128.191.16,6
172.210.225.34,2
82.135.226.115,1
82.238.159.78,2
201.66.132.24,2
154.20.232.87,2
83.227.99.222,4
87.254.76.214,2
87.110.172.158,2
68.53.93.55,2
209.6.110.105,2
68.184.180.170,2
35.10.92.61,5
24.224.190.149,5
69.116.18.137,2
217.8.201.21,6
213.112.53.77,2
192.208.132.217,3
85.165.0.55,2
88.108.131.46,2
67.71.69.121,37
202.97.238.204,4
86.128.67.61,4
68.51.91.234,3
67.163.59.104,10
67.175.21.149,2
86.3.249.41,2
71.228.44.157,6
69.175.213.26,3
70.34.2.250,3
86.128.116.241,4
74.134.164.121,2
68.70.72.32,3
83.87.11.43,3
24.185.17.200,2
24.52.71.135,3
74.134.3.114,1
67.84.43.172,2
24.187.107.99,6
24.53.74.129,5
66.61.38.114,7
68.195.103.120,6
68.171.31.88,3
24.200.254.253,1
208.2.71.2,4
68.0.172.33,6
72.201.60.177,6
72.40.133.78,3
67.84.148.173,6
24.74.180.249,3
67.80.71.219,6
212.72.49.141,14
86.20.229.242,2
137.99.56.10,3
194.46.185.158,10
89.0.195.189,10
88.109.227.83,2
84.194.56.104,2
67.188.114.72,2
62.30.220.30,2
70.173.223.82,2
65.196.74.236,3
189.132.176.243,16
69.113.180.235,6
68.234.20.58,2
24.188.222.16,6
24.242.44.13,2
68.47.20.134,2
69.164.189.12,5
